Nome,Acervo,Add,Arquivos e mídia,Coleção,Contexto Historico,Data de Produção,Dimensões,Doador,Estado de Conservação,Local de Origem,Material,Nº de Inventário,Período/Época,Responsável,Técnica,URL,URL Adicional
Culto ao Divino Espírito Santo,Patrimônio Material/Cultura,No,Metadados/Culto_ao_Divino_Esprito_Santo.jpg,"Arte Popular, Artesanato, Açoriano, Cerâmica, Escultura, Olaria, Patrimônio Material, Religioso","  • Conjunto de figuras em cerâmica representando o Culto ao Divino Espírito Santo, tradição de origem açoriana que se mantém viva em diversas comunidades do litoral catarinense.
  • O culto envolve procissões, coroações, bandeiras e festejos comunitários, simbolizando fé, solidariedade e partilha.
  • As figuras retratam personagens e elementos típicos da celebração, como o cortejo, a coroa e o barco com a inscrição “Espírito Santo”, reforçando a dimensão religiosa e cultural da prática.
  • Essa manifestação é considerada patrimônio imaterial, mas também se materializa em objetos como bandeiras, coroas e representações artísticas, como este conjunto.",,,,,São José - SC,Cerâmica pintada,,,,"Modelagem em cerâmica, pintura artesanal",https://drive.google.com/file/d/1J9ufbQzClC9OZHPlcXFlHsgV8c4t8svs/view?usp=drive_link,
Boi de Mamão,Patrimônio Material/Cultura,No,Metadados/Boi_de_Mamo.jpg,"Arte Popular, Artesanato, Açoriano, Cerâmica, Escultura, Olaria, Patrimônio Material, Registro Folclórico","  • Conjunto de figuras em cerâmica representando personagens do folguedo popular Boi de Mamão, manifestação cultural de origem açoriana presente em Santa Catarina.
  • O Boi de Mamão é uma encenação folclórica que mistura teatro, música e dança, com personagens como o boi, o urubu, o cavalo, a bernunça e o vaqueiro.
  • Essa tradição, transmitida oralmente e praticada em comunidades litorâneas, simboliza a resistência cultural açoriana e sua integração ao cotidiano catarinense.
  • As figuras coloridas e estilizadas reforçam o caráter festivo e comunitário da manifestação.",,,,Excelente,São José - SC,Cerâmica pintada,,,,"Modelagem em cerâmica, pintura artesanal",https://drive.google.com/file/d/13UJXEi2Nf-pACmYx6GmttrNgmr8ixML8/view?usp=drive_link,
Bica da Carioca,Patrimônio Material/Cultura,No,Metadados/Bica_da_Carioca.jpg,"Artesanato, Cerâmica, Escultura, Olaria","  • Escultura em barro representando a Bica da Carioca, fonte histórica de abastecimento de água da cidade de São José.
  • A Bica da Carioca é um dos símbolos da cultura açoriana local, associada ao cotidiano das famílias que utilizavam suas águas para consumo e atividades domésticas.
  • A obra reproduz a cena com figuras humanas estilizadas, reforçando o caráter comunitário e social do espaço.
  • Este tipo de representação artística valoriza a memória coletiva e preserva tradições ligadas ao patrimônio material e imaterial da cidade.",,,,Excelente,São José - SC,"Barro, gesso, pintura artesanal",,,,"Modelagem em barro, pintura manual, composição cenográfica",https://drive.google.com/file/d/1B4RsxObFIAKq1ymq_M55_bNLMDP28Hve/view?usp=drive_link,
Escultura de Pomba em Madeira (7 Virtudes),Patrimônio Material/Cultura,No,Metadados/11072025-_MG_6621.jpg,"Arte Sacra, Artesanato, Escultura, Patrimônio Material, Religioso","  • Escultura em madeira representando a pomba, símbolo do Divino Espírito Santo, com raios dourados ao redor.
  • A peça está associada às sete virtudes (fé, esperança, caridade, prudência, justiça, fortaleza e temperança), elementos centrais da religiosidade católica e da tradição açoriana.
  • Utilizada em festas e celebrações do Divino Espírito Santo, reforça a devoção comunitária e a transmissão cultural entre gerações.
  • É um exemplo da arte sacra popular, que une estética artesanal e significado espiritual.",,,,Bom,São José - SC,Madeira entalhada e pintada,,,,"Entalhe em madeira, pintura artesanal, aplicação de raios dourados",https://drive.google.com/file/d/1Wo-1dK2295drQx_MyWxPWWmMnm3pFG6g/view?usp=drive_link,
"Pintura ""Nosso Senhor dos Passos”",Patrimônio Material/Cultura,No,Metadados/11072025-_MG_6619.jpg,"Açoriano, Patrimônio Material, Pintura, Religioso","  • Pintura devocional representando Nosso Senhor dos Passos, figura central das procissões religiosas em São José e em diversas comunidades açorianas.
A obra retrata Cristo carregando a cruz, vestindo túnica roxa com detalhes dourados, símbolo da Paixão e da fé católica.
  • A devoção ao Senhor dos Passos é uma das mais tradicionais da religiosidade açoriana, com procissões que mobilizam a comunidade e reforçam a memória coletiva.",,,,Excelente,São José - SC,,,,,"Pintura sobre tela, estilo devocional, moldura dourada ornamentada",https://drive.google.com/file/d/10r29k6f3qgRq9_NBTlFZYiOanG7ORyIT/view?usp=drivesdk,
Cerâmica Utilitária,Patrimônio Material/Cultura,No,Metadados/11072025-_MG_6595.jpg,"Artefato Cotidiano, Artesanato, Açoriano, Cerâmica, Olaria, Patrimônio Material, Registro Histórico","  • Conjunto de peças em cerâmica utilitária, incluindo potes, jarras e vasos, utilizados para armazenamento de alimentos, líquidos e preparo de refeições.
  • A cerâmica era fundamental na vida cotidiana das famílias açorianas, tanto pela funcionalidade quanto pela durabilidade, sendo produzida em olarias locais.
  • Representa práticas domésticas tradicionais e técnicas artesanais transmitidas entre gerações, reforçando a identidade cultural açoriana em São José e região.",,,,Excelente,São José - SC,Barro cozido (terracota),,,,"Modelagem manual, torno de oleiro, queima em forno artesanal",https://drive.google.com/file/d/1beWecw2m6WYyEEj2nTmgt8Kw8wW6O3cq/view?usp=drive_link,
Cardeal Dom Jaime de Barros Câmara,Religiosa,Yes,Metadados/Cardeal_Dom_Jaime_de_Barros_Cmara.jpg,Religioso,"Retrato em perfil do Cardeal Dom Jaime de Barros Câmara, representado com vestes eclesiásticas vermelhas e insígnias religiosas, destacando sua posição de alto membro da Igreja Católica. A obra apresenta moldura ornamentada, reforçando o caráter solene e institucional do retrato.",,,Igreja Católica,Excelente,Brasil,,,Cerda de 1946–1960,,,https://drive.google.com/drive/folders/1tip1QzhH534fh2lpSWlvJqLY51-jE9pC,
Foto 1,Política/Administrativa,No,Metadados/20260415_172953(2).jpg,"Registro Fotográfico, Registro Histórico",,,,,,,,,,,,https://drive.google.com/file/d/11Tq5Bo3_phbhYHNcpm2zqRuBdL3mv23A/view?usp=drive_link,
Foto 2,Política/Administrativa,No,Metadados/20260415_173058(1).jpg,"Registro Fotográfico, Registro Histórico",,,,,,,,,,,,https://drive.google.com/file/d/1GRjMVQNQw1bc8dzLXl1Fj1slGgpSFXPF/view?usp=drive_link,
Foto 3,Política/Administrativa,No,Metadados/20260415_173153(2).jpg,"Registro Fotográfico, Registro Histórico",,,,,,,,,,,,https://drive.google.com/file/d/1nCwWiNTJ14z_HTNv2Yaw3LQ7XKyuEapx/view?usp=drive_link,
Foto 4,Política/Administrativa,No,Metadados/20260415_173312(1).jpg,"Registro Fotográfico, Registro Histórico",,,,,,,,,,,,https://drive.google.com/file/d/1SzAWZGEw2FhyGp3Fv39iMdZeLmus4UYh/view?usp=drive_link,
Foto 6,Política/Administrativa,No,Metadados/20260415_173424(1).jpg,"Registro Fotográfico, Registro Histórico",,,,,,,,,,,,https://drive.google.com/file/d/1-Y8gjbRhLH2s3bsXEPh1eQoyeWlyV84L/view?usp=drive_link,
Foto 5,Política/Administrativa,No,Metadados/20260415_173247(1).jpg,"Fotos, Registro Fotográfico, Registro Histórico",,,,,,,,,,,,https://drive.google.com/file/d/1SzAWZGEw2FhyGp3Fv39iMdZeLmus4UYh/view?usp=drive_link,
Foto 7,Política/Administrativa,No,Metadados/20260415_173352(1).jpg,,,,,,,,,,,,,https://drive.google.com/file/d/1oL5eBefZN1ZwVWwk3_AROOsmDi6q80AY/view?usp=drive_link,
Maquina de Escrever Smith Premier nº2,Política/Administrativa,No,"Metadados/20260415_174250.jpg, Metadados/20260415_174257.jpg","Antiguidade, Tecnologia da Escrita","  • Origem: Criada pela Smith Premier Typewriter Company em Syracuse, Nova York, em 1890.
  •  Inventor: Alexander Brown, que trabalhava para os irmãos Smith, originalmente fabricantes de armas.
  • Diferencial: Foi uma das primeiras máquinas com teclado completo (full-keyboard), permitindo digitar todas as letras sem precisar de combinações.",1890–1910,"Altura 24 cm, largura 38 cm, profundidade 30 cm (Aprox.)",,Bom,,"Metal, celuloide, tinta",,,,,https://drive.google.com/file/d/1Ixvg9P9S1h25fSflBk6B_KzwZNtrdTiI/view?usp=drive_link,https://drive.google.com/file/d/1Zvo4p4WMM5qD9eQ5wxGE1AUCopGol9HQ/view?usp=drive_link
Mata Borrão,Política/Administrativa,No,Metadados/20260415_174317.jpg,"Antiguidade, Escritório, Ferramenta de Escrita, Patrimônio Material, Tipografia","  • Era usado em escritórios e escritórios domésticos antes da popularização das canetas esferográficas.
  • A função principal era absorver o excesso de tinta deixado pela caneta tinteiro no papel, evitando borrões.
  • Possui uma base curva com papel absorvente preso por baixo e uma alça superior para segurar e passar sobre a escrita.",Final do século XIX – primeira metade do século XX,Aproximadamente 10 × 6 × 5 cm,,Bom,,"Madeira, papel absorvente",,Século XIX – XX,,"Entalhe em madeira, montagem manual com papel absorvente",https://drive.google.com/file/d/1g7joehvkr6Mfsi_TYlmAkBTiP1JnuE4_/view?usp=drive_link,
Suporte para caneta tinteiro com reservatório de tinta,Política/Administrativa,No,Metadados/20260415_174323.jpg,"Acessórios de Escrita, Antiguidade, Escritório, Ferramenta de Escrita, Patrimônio Material","  • Utilizado em escritórios e ambientes domésticos como suporte para caneta tinteiro e reservatório de tinta.
  • Servia para manter a caneta em posição adequada e facilitar o uso cotidiano da escrita manual antes da popularização das canetas esferográficas.
  • Representa práticas de escrita do século XIX e XX, associadas ao trabalho administrativo e à cultura escrita.
",Final do século XIX – primeira metade do século XX,Aproximadamente 8 × 5 × 4 cm,,Bom,,"Plástico preto, acrílico transparente",,Século XIX – XX,,"Moldagem em plástico, encaixe com peça transparente",https://drive.google.com/file/d/1JC3SiyqleWmJOwKotaGTfNHJ19rvlien/view?usp=drive_link,
Telefone de disco preto metálico,Política/Administrativa,No,"Metadados/20260415_174334.jpg, Metadados/20260415_174343.jpg","Antiguidade, Comunicação, Escritório, Patrimônio Material, Registro Histórico","  • Utilizado em escritórios e residências durante o século XX como meio de comunicação por voz.
  • O telefone de disco representou um avanço tecnológico em relação aos modelos anteriores de magneto e manivela, permitindo discagem direta de números.
  • É um símbolo da evolução das telecomunicações e da vida cotidiana antes da popularização dos telefones digitais e celulares.
",Primeira metade do século XX (aprox. 1930–1960),Aproximadamente 25 × 20 × 15 cm,,Bom,,"Metal, plástico, componentes elétricos",,Século XX,,"Montagem industrial, componentes elétricos e mecânicos",https://drive.google.com/file/d/1VfnikNSzZ3qeqaoEEfbqm_rAhTUv5ULo/view?usp=drive_link,https://drive.google.com/file/d/1PLApeIqXWSo9CdbZALSfdbslnKZJN7UC/view?usp=drive_link
Porta‑cachimbo e fumo em madeira torneada,Política/Administrativa,No,Metadados/20260415_174352.jpg,"Antiguidade, Artefato Cotidiano, Artesanato, Patrimônio Material, Tabaco e Fumo","  • Objeto produzido em madeira torneada, utilizado como suporte para cachimbo e armazenamento de fumo.
  • Representa hábitos sociais e culturais relacionados ao consumo de tabaco, comuns nos séculos XIX e XX, quando fumar cachimbo era prática difundida em ambientes domésticos e sociais.
  • A peça evidencia técnicas artesanais de marcenaria e o uso de madeira como material para objetos cotidianos.
",Século XIX – XX,Aproximadamente 15 × 10 × 10 cm,,Excelente,,Madeira polida,,Século XIX – XX,,"Torneamento em madeira, acabamento manual",https://drive.google.com/file/d/1pDDZqzN9-QzTOaUKtcIwy2kprd-IS8iy/view?usp=drive_link,
"Mastro com bandeiras de São José, Santa Catarina e Brasil",Política/Administrativa,No,"Metadados/20260415_174423.jpg, Metadados/20260415_174406.jpg","Antiguidade, Patrimônio Material, Patriótico, Registro Histórico","  • Conjunto de bandeiras expostas em mastro, representando o município de São José, o estado de Santa Catarina e a República Federativa do Brasil.
  • Utilizado em cerimônias oficiais e eventos cívicos, simbolizando identidade local, estadual e nacional.
  • A presença simultânea das três bandeiras reforça a importância da integração entre município, estado e nação no início do século XX.
",Aproximadamente 1920,,,Excelente,São José - SC,"Tecido (bandeiras), madeira (mastros)",,Início do século XX,,Costura e bordado em tecido; montagem em mastro de madeira,https://drive.google.com/file/d/1aso7022PCtb_aTzffH8PYuKn3FaDZTzA/view?usp=drive_link,https://drive.google.com/file/d/1fQJXCHMgblyK14dRwuLKmHBDyYP-Z4jf/view?usp=drive_link
Telefone de parede em madeira com campainha metálica,Política/Administrativa,No,Metadados/20260415_174442.jpg,"Antiguidade, Comunicação, Escritório, Patrimônio Material, Registro Histórico","  • Modelo de telefone fixo de parede, composto por caixa de madeira com campainhas metálicas e bocal em Bakelite.
-Utilizado em residências e repartições públicas no final do século XIX e início do século XX, representando os primeiros avanços das telecomunicações no Brasil.
  • Este tipo de aparelho funcionava por meio de linhas telefônicas manuais, operadas em centrais, e simboliza a transição da comunicação escrita para a comunicação por voz.
",Final do século XIX – início do século XX,Aproximadamente 30 × 20 × 15 cm,,Bom,,"Madeira, metal, Bakelite, componentes elétricos",,Século XIX – XX,,"Montagem industrial, torneamento em madeira, componentes elétricos e mecânicos",https://drive.google.com/file/d/1sInlIA4NEW7C7FHJXB_kUfvq1AuoKpTS/view?usp=drive_link,
Mesa de escritório em madeira com luminária antiga,Política/Administrativa,No,Metadados/20260415_174519.jpg,"Antiguidade, Escritório, Mobiliário, Patrimônio Material, Registro Histórico","  • Mesa de escritório em madeira maciça, acompanhada de luminária com base metálica e cúpula de vidro decorada.
  • Utilizada em ambientes administrativos e domésticos, representa práticas de trabalho e estudo do início do século XX.
  • A luminária evidencia o uso de iluminação elétrica em móveis de época, enquanto a mesa reflete o design clássico e artesanal da marcenaria.",Início do século XX (aprox. 1900–1930),,,Excelente,,"Madeira, metal, vidro",,Século XX,,"Marcenaria artesanal, montagem industrial da luminária, vidro decorado",https://drive.google.com/file/d/1qh5x8s6dzj3AVHVMpGyIP-uSB9rE1ePO/view?usp=drive_link,
Gabinete em madeira com acabamento torneado,Política/Administrativa,No,Metadados/20260415_174529.jpg,"Antiguidade, Artefato Cotidiano, Mobiliário, Patrimônio Material, Registro Histórico","  • Móvel em madeira maciça, utilizado como gabinete ou pequeno baú para armazenamento de objetos pessoais ou documentos.
  • Representa práticas domésticas e administrativas do início do século XX, evidenciando o trabalho artesanal da marcenaria e o design clássico com bordas arredondadas e painéis verticais.
  • Este tipo de mobiliário era comum em residências e escritórios, refletindo tanto funcionalidade quanto estética.
",Início do século XX (aprox. 1900–1930),,,Excelente,,Madeira polida,,Século XX,,"Marcenaria artesanal, acabamento polido",https://drive.google.com/file/d/1hDwKGO41YsqAHbTYlSi4QElWKV0klfuf/view?usp=drive_link,
Lampião a óleo em vidro com chaminé,Política/Administrativa,No,Metadados/20260415_174610.jpg,"Antiguidade, Artefato Cotidiano, Iluminação, Patrimônio Material, Registro Histórico","  • Lampião em vidro transparente com base decorada e chaminé cilíndrica, utilizado para iluminação doméstica.
  • Funcionava com óleo ou querosene, sendo aceso por pavio regulado em queimador metálico.
  • Representa práticas cotidianas de iluminação anteriores à difusão da energia elétrica, comuns em residências e espaços públicos até meados do século XX.",Final do século XIX – primeira metade do século XX,Aproximadamente 30 × 12 × 12 cm,,Bom,,"Vidro, metal",,Século XIX – XX,,"Vidro soprado com gravação decorativa, montagem metálica para queimador",https://drive.google.com/file/d/1QOpjdtzyJFcn985RKkXGjMtcXQ6awC-x/view?usp=drive_link,
Mesa administrativa em madeira com cadeiras e lampião central,Política/Administrativa,No,Metadados/20260415_174626.jpg,"Antiguidade, Escritório, Mobiliário, Patrimônio Material, Registro Histórico","  • Conjunto de mesa retangular em madeira com cadeiras, utilizado em ambientes administrativos e políticos para reuniões e atividades de gestão pública.
  • O lampião a óleo disposto ao centro reforça o uso de iluminação tradicional anterior à difusão da energia elétrica.
  • Representa práticas administrativas e políticas do início do século XX, evidenciando tanto a funcionalidade quanto a estética do mobiliário artesanal em repartições públicas.
",Início do século XX (aprox. 1900–1930),,,Excelente,São José - SC,"Madeira, vidro e metal (lampião)",,Século XX,,"Marcenaria artesanal, montagem manual, vidro soprado e metal no lampião",https://drive.google.com/file/d/1sx2eWTyP56IUUt7lSv_x_2HcO6PYLLx_/view?usp=drive_link,
Painel de retratos de autoridades municipais com brasão,Política/Administrativa,No,"Metadados/20260415_174756.jpg, Metadados/20260415_174706.jpg, Metadados/20260415_174716.jpg, Metadados/20260415_174724.jpg, Metadados/20260415_174730.jpg","Antiguidade, Iconografia, Político-Administrativo, Registro Fotográfico, Registro Histórico","  • Painel composto por retratos emoldurados de autoridades municipais, organizados em sequência cronológica ou hierárquica.
  • A presença do brasão da República Federativa do Brasil reforça o caráter oficial e administrativo da exposição.
  • Representa a memória política e institucional de São José, documentando a sucessão de líderes e gestores públicos ao longo do tempo.",,,,Excelente,São José - SC,"Papel impresso, madeira (molduras), vidro (proteção)",,,,"Impressão em papel, gravura, montagem em moldura de madeira com vidro protetor",https://drive.google.com/file/d/1GIEz3RjMADLVzI3N_MSZ2Vyw_nNCjjUK/view?usp=drive_link,
Cabideiro de parede em madeira com espelho e ganchos metálicos,Política/Administrativa,No,"Metadados/20260415_174915.jpg, Metadados/20260415_174932.jpg","Antiguidade, Artefato Cotidiano, Mobiliário, Patrimônio Material, Político-Administrativo","  • Cabideiro de parede em madeira com espelho central e ganchos metálicos com ponteiras cerâmicas.
  • Utilizado em repartições públicas e ambientes administrativos para organização de vestimentas e acessórios.
  • Representa práticas cotidianas de trabalho e convivência em espaços políticos e administrativos do início do século XX, evidenciando tanto funcionalidade quanto estética do mobiliário artesanal.
",Início do século XX (aprox. 1900–1930),,,,,"Madeira, metal, cerâmica, vidro",,Século XX,,"Marcenaria artesanal, montagem manual, espelharia, metalurgia",https://drive.google.com/file/d/1Zh5znxGHelpwbCDARMLrG1L81yN-KRq2/view?usp=drive_link,https://drive.google.com/file/d/1CwVyaU8Mh25UZbbBnwn6L1uqkwipC0N1/view?usp=drive_link
Batelão de borda lisa em garapuvu – “Martinha”,Patrimônio Material/Cultura,No,Metadados/Batelo_de_Borda_Lisa_-_Esculpida_de_Garapuvu_-_Obra_do_mestre_canoeiro__Rudnei_Alves_sob_a_superviso_do_mestre_oleiro__Lourival_Medeiros.jpg,"Arte Náutica, Açoriano, Patrimônio Material, Registro Histórico","  • O batelão de borda lisa é uma embarcação tradicional açoriana, utilizada para transporte, pesca e atividades cotidianas nas comunidades litorâneas de Santa Catarina.
  • Esculpido em garapuvu, madeira típica da região, representa a continuidade das técnicas artesanais de construção naval transmitidas entre gerações.
  • A obra foi realizada pelo mestre canoeiro Rudnei Alves, sob supervisão do mestre oleiro Lourival Medeiros, reforçando a importância da preservação dos saberes tradicionais.
  • O nome “Martinha” pintado na lateral personaliza a embarcação, prática comum nas comunidades pesqueiras.
",,,,Excelente,,"Madeira de garapuvu, pintura em tinta óleo",,,,"Escultura em madeira de garapuvu, pintura artesanal",https://drive.google.com/file/d/1I-PQoO7YPSgKHAzW3Siu2jnZ2_MwSk3h/view?usp=sharing,
São José dos meus Dias – Acrílico sobre tela,Patrimônio Material/Cultura,No,Metadados/Obra__So_Jos_dos_meus_Dias__-_Acrlico_sobre_tela_-_Artista__Plnio_Verani.jpg,"Açoriano, Patrimônio Material, Pintura, Registro Histórico","  • Obra em acrílico sobre tela do artista Plínio Verani, intitulada “São José dos meus Dias”.
  • A pintura retrata cenas do cotidiano comunitário de São José, com forte inspiração na cultura açoriana e na vida urbana da cidade.
  • A composição vibrante e fragmentada, com traços expressionistas e cubistas, transmite dinamismo e celebra a identidade cultural local.
  • A obra integra o acervo como expressão artística contemporânea que dialoga com a memória coletiva e o patrimônio açoriano.
",,,,Excelente,São José - SC,"Tela, tinta acrílica",,,,"Pintura em acrílico sobre tela, estilo expressionista/cubista",https://drive.google.com/file/d/1GecrRIwYamua1A1N-dpSadzjGTjJsGby/view?usp=drive_link,
Torno de Oleiro Manual,Patrimônio Material/Cultura,No,Metadados/Torno_de_Oleiro_Manual.jpg,"Artesanato, Açoriano, Patrimônio Material, Registro Histórico","  • O torno de oleiro manual é um instrumento utilizado para moldar peças de cerâmica, como potes, jarras e utensílios domésticos.
  • A prática da olaria foi essencial para a vida cotidiana das comunidades açorianas, fornecendo recipientes para armazenamento, preparo e consumo de alimentos.
  • O torno representa o saber artesanal transmitido entre gerações, reforçando a importância da cerâmica utilitária na cultura açoriana de São José e região.
  • Além de sua função prática, é símbolo da resistência cultural e da valorização do trabalho manual.",,,,Bom,São José - SC,Madeira e pedra (base circular),,,,Instrumento artesanal de modelagem manual de cerâmica,https://drive.google.com/file/d/1x5nLttbsPBFpkIlQliPndgURnWRxivsV/view?usp=drive_link,
Traje Feminino – Festa do Divino Espírito Santo,Patrimônio Material/Cultura,No,Metadados/Traje_Feminino_(Festa_do_Divino_Esprito_Santo_-_1994).jpg,"Açoriano, Patrimônio Material, Religioso","  • Traje feminino utilizado durante a Festa do Divino Espírito Santo em 1994, celebração tradicional de origem açoriana que une religiosidade e cultura popular.
  • O vestido, em tom vermelho/bordô com bordados dourados, representa a solenidade e a importância da participação feminina nas festividades.
  • A Festa do Divino é marcada por procissões, coroações e momentos de partilha comunitária, sendo um dos pilares da identidade cultural de São José e região.
  • A preservação deste traje reforça a memória coletiva e valoriza o papel das mulheres na manutenção das tradições religiosas e sociais.
",1994,,,Excelente,São José - SC,"Tecido bordado, rendas, fios metálicos
",,,,"Costura artesanal, bordado em fios metálicos, aplicação de rendas",https://drive.google.com/file/d/1VIHYNpF-nhmsIcNMjxdK1LEqI-8hurTw/view?usp=drive_link,
"Adornos com sementes, escamas de tucunaré e espinhos de porco",Indígena (Guarani),No,Metadados/Adorno.jpg,"Artefato Indígena, Guarani, Patrimônio Material","  • Colares confeccionados pelo povo Guarani, utilizando elementos naturais como sementes, escamas de peixe tucunaré e espinhos de porco.
  • Esses adornos representam não apenas estética e beleza, mas também a conexão espiritual e simbólica com a natureza, reforçando o vínculo dos Guarani com o ambiente.
  • O uso de materiais orgânicos reflete o saber tradicional e a valorização dos recursos disponíveis, transmitindo técnicas artesanais de geração em geração.
  • São peças que expressam identidade cultural, pertencimento e espiritualidade, além de serem utilizadas em rituais e momentos comunitários.
",,,,Bom,São José - SC,"Sementes, escamas de tucunaré, espinhos de porco",,,,"Artesanato indígena, montagem manual de adornos com elementos naturais",https://drive.google.com/file/d/10tIiY2KB3eZQ1Wm0Eo_WHxYON0e5iqaY/view?usp=drive_link,
Amolador,Indígena (Guarani),No,Metadados/Amolador_N_1251.jpg,"Artefato Indígena, Guarani, Patrimônio Material","  • O amolador é uma peça de pedra utilizada pelos povos Guarani para afiar lâminas, pontas de flechas e outros instrumentos de uso cotidiano.
  • Além de sua função prática, representa o conhecimento técnico e a relação direta com os recursos naturais disponíveis no território.
  • Esses objetos eram fundamentais para a sobrevivência, permitindo a manutenção de ferramentas de caça, pesca e preparo de alimentos.
  • A preservação do amolador reforça a memória da cultura material indígena e sua importância na vida comunitária.
",,,,Bom,São José - SC,Rocha sedimentar,1251,,,Uso de pedra natural para afiação de instrumentos,https://drive.google.com/file/d/1BwZmEns6uKz_iOChgUtuisIz2RyXeD7z/view?usp=drive_link,
Amolador,Indígena (Guarani),No,Metadados/Amolador_N_1259.jpg,"Artefato Indígena, Ferramentas Tradicionais, Guarani, Patrimônio Material",,,,,Bom,São José - SC,,1259,Rocha sedimentar,,,https://drive.google.com/file/d/1BwZmEns6uKz_iOChgUtuisIz2RyXeD7z/view?usp=drive_link,
Amostra Animal,Indígena (Guarani),No,Metadados/Amostra_Animal_N_1256.jpg,"Amostras Naturais, Artefato Indígena, Guarani","  • Elemento ósseo/dentário de origem animal.
  • Os povos Guarani utilizavam partes de animais como dentes, ossos e presas em práticas cotidianas e simbólicas, seja para adornos, instrumentos ou rituais.
Essa amostra evidencia a relação dos Guarani com a fauna local e o aproveitamento integral dos recursos naturais, reforçando o respeito à natureza como parte de sua cosmologia.",,,,Bom,São José - SC,Elemento ósseo/dentário de origem animal.,,,,Coleta e preservação de amostra animal natural,https://drive.google.com/file/d/1Pp6qumMxEfYuhXHsMZNzzoNHnSXvvO7s/view?usp=drive_link,
"Arcos, Flechas e Lanças",Indígena (Guarani),No,Metadados/Arcos_Flechas_e_Lanas.jpg,"Armamentos, Artefato Indígena, Guarani, Patrimônio Material","  • Conjunto de arcos, flechas e lanças utilizados pelos povos Guarani em atividades de caça, defesa e rituais.
  • Esses instrumentos eram confeccionados com madeira, fibras vegetais e penas, evidenciando o uso de recursos naturais disponíveis no território.
  • Além da função prática, possuíam valor simbólico e espiritual, reforçando a ligação dos Guarani com a natureza e sua cosmologia.
  • A preservação dessas peças permite compreender técnicas artesanais, modos de vida e práticas culturais transmitidas entre gerações.
",,,,Bom,São José - SC,"Madeira, fibras vegetais, penas, pigmentos naturai",,,,"Artesanato indígena, entalhe em madeira, amarração com fibras, aplicação de penas
",https://drive.google.com/file/d/1vIl0MaUZckAeeDjCdYKkzXIlHhMwdnhU/view?usp=drive_link,
Balaio de Coleta (Adjaka Mbaemo Ryru),Indígena (Guarani),No,Metadados/Balaio_de_Coleta_(Adjaka_Mbaemo_Ryru).jpg,"Artefato Indígena, Guarani, Patrimônio Material, Utensílios Tradicionais","  • O balaio de coleta, denominado em Guarani Adjaka Mbaemo Ryru, é um cesto artesanal utilizado para recolher alimentos, sementes e outros recursos naturais.
  • Confeccionado com fibras vegetais, o balaio evidencia o saber tradicional dos Guarani na arte da cestaria, transmitido de geração em geração.
  • Além da função prática, o objeto simboliza a relação de respeito e equilíbrio com a natureza, reforçando a importância da coleta como atividade comunitária e de subsistência.
  • A preservação dessa peça permite compreender técnicas de trançado e a valorização dos recursos naturais disponíveis no território indígena.
",,,,Bom,São José - SC,Fibras vegetais trançadas,,,,Trançado manual de fibras vegetais (cestaria indígena,https://drive.google.com/file/d/1m1Fsy-vie1wxyvXet-6Ll72a13SzVZjl/view?usp=drive_link,
Bolsa (Voco),Indígena (Guarani),No,Metadados/Bolsa_(Voco).jpg,"Artefato Indígena, Guarani, Patrimônio Material, Utensílios Tradicionais","  • A Bolsa (Voco) é um objeto artesanal produzido pelos povos Guarani a partir de fibras vegetais.
Utilizada para carregar alimentos, sementes e objetos pessoais, a bolsa também possui valor simbólico, representando a habilidade manual e a estética tradicional indígena.
  • O trançado circular e os padrões geométricos reforçam a ligação com a natureza e a transmissão de saberes entre gerações.
  • Além da função prática, o voco é um elemento de identidade cultural, presente no cotidiano e em momentos comunitários.
",,,,Bom,São José - SC,Fibras vegetais trançadas,,,,Trançado manual de fibras vegetais (cestaria indígena),https://drive.google.com/file/d/149xrWI6Ngl_72Jm2sVHqVpCmQYPHhoKV/view?usp=drive_link,
Cachimbo (Peryngua),Indígena (Guarani),No,Metadados/Cachimbo_(Peryngua).jpg,"Artefato Indígena, Guarani, Religioso","  • O cachimbo (peryngua) é um objeto artesanal confeccionado em madeira, utilizado pelos povos Guarani em momentos de ritual, espiritualidade e convivência comunitária.
  • O ato de fumar no cachimbo possui caráter simbólico, representando a comunicação com o sagrado, a partilha e a conexão com a natureza.
  • Além da função ritual, o cachimbo também integra práticas cotidianas, sendo confeccionado com técnicas tradicionais transmitidas entre gerações.
  • A preservação dessa peça reforça a importância dos objetos rituais na cosmologia Guarani e sua relevância cultural.
",,,,Excelente,São José - SC,Madeira entalhada,,,,"Entalhe manual em madeira, perfuração e acabamento artesanal",https://drive.google.com/file/d/1iezu5l9h4565oA5tKGrWm574sL2BV7-g/view?usp=drive_link,
